PERMNO,start,ending
85991.0,2014-11-05,2017-10-12
86021.0,2004-12-01,2019-06-28
86102.0,2003-04-16,2012-12-31
86111.0,2007-11-19,2023-12-29
86136.0,1998-06-30,2023-12-29
86158.0,2006-11-17,2023-12-29
86176.0,2000-10-03,2010-12-17
86228.0,2008-12-05,2023-12-29
86288.0,2022-09-19,2023-12-29
86305.0,2000-06-13,2009-12-18
86314.0,2001-09-04,2018-09-14
86339.0,2012-03-14,2023-12-29
86356.0,2002-07-22,2023-12-29
86580.0,2001-11-30,2023-12-29
86725.0,2008-11-24,2014-01-23
86756.0,2001-05-14,2010-02-26
86783.0,2009-11-06,2023-12-29
86799.0,2006-06-28,2016-03-03
86845.0,2006-06-06,2008-03-28
86868.0,2002-07-22,2023-12-29
86946.0,2002-09-04,2017-07-25
86964.0,2010-12-20,2023-12-29
86979.0,2006-06-02,2023-12-29
86996.0,2017-09-01,2023-12-29
87055.0,1993-10-22,2023-12-29
87070.0,2007-02-15,2015-11-02
87137.0,2000-08-30,2023-12-29
87184.0,2009-07-27,2019-07-12
87267.0,2011-04-04,2023-12-29
87292.0,1999-11-05,2010-11-16
87299.0,2007-07-12,2023-12-29
87432.0,2000-06-05,2023-12-29
87445.0,2020-06-22,2023-12-29
87447.0,2002-07-22,2023-12-29
87541.0,2017-07-26,2023-12-29
